Fingerprint,Timestamp,Type,Bandwidth (B/s),Coefficient of Variation
000A10D43011EA4928A35F610405F92B4433B4DC,2024-09-28 12:00:00,Write,112631.34989901424,0.02875444694581618
000A10D43011EA4928A35F610405F92B4433B4DC,2024-09-28 12:00:00,Read,117306.55415303231,0.02875444694581618
000F3EB75342BE371F1D8D3FAE90890AEB5664EE,2024-09-28 12:00:00,Write,5009254.579123124,0.07455187661901647
000F3EB75342BE371F1D8D3FAE90890AEB5664EE,2024-09-28 12:00:00,Read,5566782.398732028,0.07455187661901647
0011254CC8444369B20EF11156B8990438221A54,2024-09-28 12:00:00,Write,118541.12382776191,0.6902340118796652
0011254CC8444369B20EF11156B8990438221A54,2024-09-28 12:00:00,Read,344572.6889917086,0.6902340118796652
0011BD2485AD45D984EC4159C88FC066E5E3300E,2024-09-28 12:00:00,Write,2422016.1882473263,0.15057421871510862
0011BD2485AD45D984EC4159C88FC066E5E3300E,2024-09-28 12:00:00,Read,2999227.0785081056,0.15057421871510862
00240ECB2B535AA4C1E1874D744DFA6AF2E5E941,2024-09-28 12:00:00,Write,2715325.421221204,0.1301480158996949
00240ECB2B535AA4C1E1874D744DFA6AF2E5E941,2024-09-28 12:00:00,Read,3265755.6030207495,0.1301480158996949
00246B4EA11AAABD9A2B01A31D314AFECFB46112,2024-09-27 12:00:00,Write,1451627.876706984,0.20967003035570847
00246B4EA11AAABD9A2B01A31D314AFECFB46112,2024-09-28 12:00:00,Write,1024422.0751535773,0.20967003035570847
00246B4EA11AAABD9A2B01A31D314AFECFB46112,2024-09-27 12:00:00,Read,1532010.000546517,0.20967003035570847
00246B4EA11AAABD9A2B01A31D314AFECFB46112,2024-09-28 12:00:00,Read,1048720.0627182517,0.20967003035570847
0036FA36AB435FD5D0F640626636867EBFB72C68,2024-09-28 12:00:00,Write,11085714.751110177,0.004977776845480421
0036FA36AB435FD5D0F640626636867EBFB72C68,2024-09-28 12:00:00,Read,11164029.841842871,0.004977776845480421
003A08F1ADC002D24979C68AA5A33369C04D9C7F,2024-09-28 12:00:00,Write,7023774.424338264,0.00115187152246065
003A08F1ADC002D24979C68AA5A33369C04D9C7F,2024-09-28 12:00:00,Read,7035225.425794135,0.00115187152246065
0040A5B04C7E309D37CBE7EDB2B72D3E15D057C1,2024-09-28 12:00:00,Write,3085538.9160782183,0.004580714312254794
0040A5B04C7E309D37CBE7EDB2B72D3E15D057C1,2024-09-28 12:00:00,Read,3065614.995456098,0.004580714312254794
0055DB090820D7C08999EC1598FD6EA6365861AD,2024-09-28 12:00:00,Write,4298761.527725237,0.008823329483895397
0055DB090820D7C08999EC1598FD6EA6365861AD,2024-09-28 12:00:00,Read,4245453.859387395,0.008823329483895397
005ED97213F725867E422B8DC0443361BBB24E3C,2024-09-28 12:00:00,Write,2496981.3159364406,0.14153178133663816
005ED97213F725867E422B8DC0443361BBB24E3C,2024-09-28 12:00:00,Read,3052347.502322767,0.14153178133663816
00654113959763F653C92AFF078A7EC3A7BBD2D9,2024-09-28 12:00:00,Write,1817514.9514729546,0.05743308536371738
00654113959763F653C92AFF078A7EC3A7BBD2D9,2024-09-28 12:00:00,Read,1971387.288415576,0.05743308536371738
006973C241C130B2ADAF229113FF0A434113FD5F,2024-09-28 12:00:00,Write,145021.57761722628,0.041622051301684
006973C241C130B2ADAF229113FF0A434113FD5F,2024-09-28 12:00:00,Read,153816.75884157134,0.041622051301684
0077640E103A829BF8228D42F95818DAD1E9D84C,2024-09-28 12:00:00,Write,1350069.3068263524,0.2610873682923452
0077640E103A829BF8228D42F95818DAD1E9D84C,2024-09-28 12:00:00,Read,1961426.5791543098,0.2610873682923452
0077BCBA7244DB3E6A5ED2746E86170066684887,2024-09-28 12:00:00,Write,1976369.7893562368,0.008854237527467739
0077BCBA7244DB3E6A5ED2746E86170066684887,2024-09-28 12:00:00,Read,1951776.0945817584,0.008854237527467739
0077DDDDB54954214CFEE0FE8AA85DDC857E7C8A,2024-09-28 12:00:00,Write,443642.7512190907,0.004501473366713653
0077DDDDB54954214CFEE0FE8AA85DDC857E7C8A,2024-09-28 12:00:00,Read,440827.4627663157,0.004501473366713653
00793AA77CFA00C77A1B716A702D03014B551399,2024-09-28 12:00:00,Write,1609544.12293481,0.1966372017600188
00793AA77CFA00C77A1B716A702D03014B551399,2024-09-28 12:00:00,Read,2129423.2248645187,0.1966372017600188
008196DC449482C73CFA9712445223917F760921,2024-09-28 12:00:00,Write,75618.65063251523,0.044625036649466016
008196DC449482C73CFA9712445223917F760921,2024-09-28 12:00:00,Read,80546.38621510743,0.044625036649466016
0082C49022C0811D45620D408E068835E2BABA71,2024-09-27 12:00:00,Write,4740.053407750686,0.12752121923196205
0082C49022C0811D45620D408E068835E2BABA71,2024-09-28 12:00:00,Write,5887.225997189507,0.12752121923196205
0082C49022C0811D45620D408E068835E2BABA71,2024-09-27 12:00:00,Read,4683.023585611125,0.12752121923196205
0082C49022C0811D45620D408E068835E2BABA71,2024-09-28 12:00:00,Read,5873.895562708112,0.12752121923196205
008EAE223B110C8EDEE20D06FB0DD4C43E3E0142,2024-09-28 12:00:00,Write,29091451.279673286,0.005658956388832952
008EAE223B110C8EDEE20D06FB0DD4C43E3E0142,2024-09-28 12:00:00,Read,29325204.73641555,0.005658956388832952
008F10F88397C11C062217EAC35D782F03BDF4C7,2024-09-28 12:00:00,Write,4139526.4628342222,0.011235539649366275
008F10F88397C11C062217EAC35D782F03BDF4C7,2024-09-28 12:00:00,Read,4074270.0974728977,0.011235539649366275
00962D2DD0B9BF3A6AF1D5EB201132388ACA1424,2024-09-28 12:00:00,Write,260803.10069733937,0.08582623465128515
00962D2DD0B9BF3A6AF1D5EB201132388ACA1424,2024-09-28 12:00:00,Read,230958.8950134167,0.08582623465128515
009EF5F8572D671AFCBBAD65998BA35B50EE04BC,2024-09-28 12:00:00,Write,5901325.282921803,0.009974152146674882
009EF5F8572D671AFCBBAD65998BA35B50EE04BC,2024-09-28 12:00:00,Read,5818666.633870433,0.009974152146674882
00A13056C61CE4C535A64D0207C6DD95771E1033,2024-09-28 12:00:00,Write,2937814.3177179666,0.009444031938552113
00A13056C61CE4C535A64D0207C6DD95771E1033,2024-09-28 12:00:00,Read,2898837.5126815294,0.009444031938552113
00B57BF614F7ED3051073B5D4526FF0B23AF217B,2024-09-28 12:00:00,Write,1230691.7039226287,0.006161592366831831
00B57BF614F7ED3051073B5D4526FF0B23AF217B,2024-09-28 12:00:00,Read,1220014.2141291643,0.006161592366831831
00BD33C25A006BA95103D3E8043FA7EF1E2BCA6C,2024-09-28 12:00:00,Write,4068891.970476155,0.008487819492886229
00BD33C25A006BA95103D3E8043FA7EF1E2BCA6C,2024-09-28 12:00:00,Read,4020342.04844521,0.008487819492886229
00CC3A3D92C33E171BBDAEACC4601173BFA24150,2024-09-28 12:00:00,Write,5493467.829438244,0.00905103706833533
00CC3A3D92C33E171BBDAEACC4601173BFA24150,2024-09-28 12:00:00,Read,5423598.065267243,0.00905103706833533
00CCE6A84E6D63A1A42E105839BC8ED5D4B16669,2024-09-28 12:00:00,Write,3850760.710833051,0.10777925876709411
00CCE6A84E6D63A1A42E105839BC8ED5D4B16669,2024-09-28 12:00:00,Read,4486126.96531285,0.10777925876709411
00CF21B2CC62CCBE9CB61D3F2DC38A9ECF98777F,2024-09-28 12:00:00,Write,133813.92763883222,0.02083060916094239
00CF21B2CC62CCBE9CB61D3F2DC38A9ECF98777F,2024-09-28 12:00:00,Read,137814.87457235012,0.02083060916094239
00DA4A3852EA5EF6841B8B4372DB0EFD3AB0BE92,2024-09-28 12:00:00,Write,29587914.580702126,0.0043366840146952055
00DA4A3852EA5EF6841B8B4372DB0EFD3AB0BE92,2024-09-28 12:00:00,Read,29769935.3488414,0.0043366840146952055
00DCAEAE3E54C32809E7F7CC4BF2A6FC68FC552F,2024-09-28 12:00:00,Write,1623416.0607936305,0.00449041760419604
00DCAEAE3E54C32809E7F7CC4BF2A6FC68FC552F,2024-09-28 12:00:00,Read,1613139.3347659232,0.00449041760419604
00E1649E69FF91D7F01E74A5E62EF14F7D9915E4,2024-09-28 12:00:00,Write,3105359.5494512436,0.10644420741235291
00E1649E69FF91D7F01E74A5E62EF14F7D9915E4,2024-09-28 12:00:00,Read,3610873.0556637235,0.10644420741235291
00EB3A12C77E70F19F66A7BBD094D62969AF350D,2024-09-28 12:00:00,Write,1829156.181072115,0.008127172082565621
00EB3A12C77E70F19F66A7BBD094D62969AF350D,2024-09-28 12:00:00,Read,1808252.7973900735,0.008127172082565621
00F0586A35B4FF15F3F1F77A8A6DAC9C6EDC4724,2024-09-28 12:00:00,Write,1553.8722828911216,1.0228371239595273
00F0586A35B4FF15F3F1F77A8A6DAC9C6EDC4724,2024-09-28 12:00:00,Read,9675.762620874644,1.0228371239595273
00FB85B65AC2F460CD46A3B6E5639821E3F52048,2024-09-28 12:00:00,Write,10814693.520412955,0.039755421117891356
00FB85B65AC2F460CD46A3B6E5639821E3F52048,2024-09-28 12:00:00,Read,11440311.256246379,0.039755421117891356
0111BA9B604669E636FFD5B503F382A4B7AD6E80,2024-09-28 12:00:00,Write,10881675.621702645,0.026827014158143207
0111BA9B604669E636FFD5B503F382A4B7AD6E80,2024-09-28 12:00:00,Read,11302499.747961234,0.026827014158143207
013ABAED8F4CDB677BE0B5212E4B2583B86035EE,2024-09-28 12:00:00,Write,19043394.92511983,0.014259014927287112
013ABAED8F4CDB677BE0B5212E4B2583B86035EE,2024-09-28 12:00:00,Read,19431321.880318377,0.014259014927287112
013AD81926572519EBCB7048E78462B5E9F1319D,2024-09-28 12:00:00,Write,8484275.390111644,0.039966510086338496
013AD81926572519EBCB7048E78462B5E9F1319D,2024-09-28 12:00:00,Read,8977762.900075631,0.039966510086338496
014326416058DCFD0965167026CBEF647409A000,2024-09-28 12:00:00,Write,5273450.345111643,0.06956650912422824
014326416058DCFD0965167026CBEF647409A000,2024-09-28 12:00:00,Read,5819103.616225421,0.06956650912422824
0145977CF1D2D4AAF98907BF81DAAD8480EFC3FD,2024-09-28 12:00:00,Write,5611516.928190654,0.006624401241497189
0145977CF1D2D4AAF98907BF81DAAD8480EFC3FD,2024-09-28 12:00:00,Read,5559191.553084233,0.006624401241497189
