Fingerprint,Mean Bandwidth,Standard Deviation,Coefficient of Variation
000A10D43011EA4928A35F610405F92B4433B4DC,110533.05181093687,15836.265184716258,0.14327176283708937
000F3EB75342BE371F1D8D3FAE90890AEB5664EE,5501629.961566483,448794.6151719996,0.08157484569249619
0011254CC8444369B20EF11156B8990438221A54,2106963.643975485,1804740.4704086748,0.8565598535926485
0011BD2485AD45D984EC4159C88FC066E5E3300E,3205248.4918261194,470331.94881297386,0.14673806103096007
0017A4738B6FFC5E3D0FC7EE380C10FC2160328A,2018693.086392846,1571916.7857933377,0.7786804226897899
001C8D5FB3A6F253171C7DE44A68CA89D40F8B0F,8292928.8079314185,1984076.7014005154,0.239249214282767
00240ECB2B535AA4C1E1874D744DFA6AF2E5E941,3331890.216964824,424061.6291614196,0.1272735899286974
00246B4EA11AAABD9A2B01A31D314AFECFB46112,1088666.542593944,393844.32300148427,0.3617676373732211
0036FA36AB435FD5D0F640626636867EBFB72C68,11501318.880616866,1655758.0889821758,0.1439624538862773
003A08F1ADC002D24979C68AA5A33369C04D9C7F,7167229.252057402,549815.8599823092,0.07671247013962623
003F7F00EBD92F26C36D091E8A76DFD71D1D8652,31385.137174742653,7814.765455138475,0.2489957399780762
0040A5B04C7E309D37CBE7EDB2B72D3E15D057C1,7978574.853098618,2735954.344797913,0.342912662370443
004F9A0513C84E72054CEB555DB51EEEF319546D,3594204.4429888404,274541.8046006088,0.07638458216703653
0055DB090820D7C08999EC1598FD6EA6365861AD,4682777.766917962,724615.2085697962,0.15474046487726284
005ED97213F725867E422B8DC0443361BBB24E3C,2492808.8511421354,397272.45937045483,0.1593673976199321
0061D22AFD1F06D4E6F35006BD3D9C21D7981EA9,4344407.069532834,394941.79921781697,0.09090810158825337
00654113959763F653C92AFF078A7EC3A7BBD2D9,2396086.0100043886,613984.8117756584,0.2562448965571707
006973C241C130B2ADAF229113FF0A434113FD5F,137078.32903047343,34814.49222173182,0.25397517220969573
0077640E103A829BF8228D42F95818DAD1E9D84C,1429219.780171242,395168.7108606321,0.2764926125030854
0077DDDDB54954214CFEE0FE8AA85DDC857E7C8A,728233.4685850352,325866.5473024903,0.44747537892710726
00793AA77CFA00C77A1B716A702D03014B551399,1804595.6839708178,359405.1830766995,0.19916105655637345
007F178ECF496433D38B0D151B70981DF55E2B8A,61175.96959568306,29131.46659967746,0.47619133447675094
008196DC449482C73CFA9712445223917F760921,80638.6018697311,5224.396782123328,0.06478778973081853
0082C49022C0811D45620D408E068835E2BABA71,5514.267416962035,2413.18742673286,0.43762611499577087
008EAE223B110C8EDEE20D06FB0DD4C43E3E0142,18956317.28523571,14925128.267040273,0.787343239853072
008F10F88397C11C062217EAC35D782F03BDF4C7,4734312.403529393,732093.4357908284,0.1546356415442839
00962D2DD0B9BF3A6AF1D5EB201132388ACA1424,231700.5406153625,25694.53258266138,0.11089543647339142
009EF5F8572D671AFCBBAD65998BA35B50EE04BC,5544253.186420538,439912.3872928602,0.07934565260661823
00A13056C61CE4C535A64D0207C6DD95771E1033,2326018.916651522,382023.2209078422,0.16423908600786155
00B57BF614F7ED3051073B5D4526FF0B23AF217B,1576618.3639328564,420419.14819523646,0.2666587918882955
00BD33C25A006BA95103D3E8043FA7EF1E2BCA6C,4800737.571938019,625547.0603946536,0.13030228189334775
00CC3A3D92C33E171BBDAEACC4601173BFA24150,6075991.526362314,438209.35411692614,0.07212145576827053
00CCE6A84E6D63A1A42E105839BC8ED5D4B16669,4746958.04364619,473992.5904329688,0.09985186009120273
00CF21B2CC62CCBE9CB61D3F2DC38A9ECF98777F,113850.6369584189,19709.326643938504,0.17311564669714447
00D2CE3C2153EA09786F2105F26B138CF759424F,5321711.39178457,589205.95662568,0.11071738267040765
00DA4A3852EA5EF6841B8B4372DB0EFD3AB0BE92,28881511.227486428,1342611.633163133,0.04648688992026755
00DB715E05F171B552D2C811763394B0BB3DF156,3408856.303287535,651602.620623251,0.19114992321466848
00E1649E69FF91D7F01E74A5E62EF14F7D9915E4,3579539.4761873446,444121.0062798876,0.12407210738542594
00EB7CA42614067FEA9DC54271CEB672ABDAE963,443842.7218816329,118646.04529927012,0.2673155139196165
00F0586A35B4FF15F3F1F77A8A6DAC9C6EDC4724,755539.433192193,518748.7407528824,0.6865938665320779
00F1F247B391B84CB6C221720BCBFC0DFDB91117,29045839.4806808,2146556.91447702,0.07390238852985313
00FB85B65AC2F460CD46A3B6E5639821E3F52048,11382310.717791414,697974.7730884202,0.06132100857143468
0111BA9B604669E636FFD5B503F382A4B7AD6E80,10564120.315201718,849538.314223835,0.0804173266562814
01181B31BE5860C7D66DA88F88AD522C06470FD9,179306.24144394457,30815.403471759426,0.171859067613065
0123DBE1B8F81E0B350794CFE4AE172E12FDA401,900780.650846428,485038.3078771173,0.5384643946573963
013ABAED8F4CDB677BE0B5212E4B2583B86035EE,20448225.146254346,1046681.6627721749,0.0511869199055598
